ownerName,id,team,roomId,serverId,channelId,groupName,periodName,teamId,pinyin,account,liveRoomId
吕思琪,52494485,TEAM NIII,,8668709,11061090,GNZ48,GNZ48 九期生,1202,LvSiQi,20210425160656_5mg2mw855d4oe4b,384280615
王琰,52494487,预备生,,,,GNZ48,GNZ48 九期生,1207,WangYan,,
郑奕雯,52494490,预备生,,,,GNZ48,GNZ48 九期生,1207,ZhengYiWen,,
林佳怡,54526093,TEAM X,377992915,1213753,1279495,SNH48,SNH48 十五期生,1004,LinJiaYi,20210412201403_ubbqatt4wuyrkh6,378291135
武博涵,54526095,TEAM X,377987247,1099628,1115489,SNH48,SNH48 十五期生,1004,WuBoHan,20210412201347_vv2m2n3w5pu3030,378357411
禹佳蔚,54526097,TEAM X,377982661,1148710,1164563,SNH48,SNH48 十五期生,1004,YuJiaWei,20210412201327_927k6ulr1asmds9,378299581
张冉冉,54526098,预备生,,,,SNH48,SNH48 十五期生,1007,ZhangRanRan,,
张诗芸,54526100,TEAM HII,377983628,1148114,1345321,SNH48,SNH48 十五期生,1003,ZhangShiYun,20210412201246_elxwd0dk5p37prc,378087593
张月铭,54526102,TEAM HII,377988067,1115375,1312211,SNH48,SNH48 十五期生,1003,ZhangYueMing,20210412201224_22sloacwls14p8i,378385638
陈泓宇,57737429,TEAM G,396390530,1246461,1279905,GNZ48,GNZ48 十期生,1201,ChenHongYu,20210531123930_oorm9i4q0nqbh0l,396559479
周培溪,57737430,TEAM Z,396394228,1214153,1279719,GNZ48,GNZ48 十期生,1203,ZhouPeiXi,20210531124028_7hrfz8t40qgh13y,396751583
项宇婧,57737478,TEAM NIII,,4228256,4703879,GNZ48,GNZ48 十期生,1202,XiangYuJing,20210531134105_0pk94tu2sm2afa4,396759042
陆婷玉,58785983,丝芭影视,402672067,1213974,1279560,丝芭影视,丝芭影视,2001,LuTingYu,20210616115438_jqr9gj94s4s47wp,403157347
熊紫轶,64422010,TEAM X,442998267,1099629,1312220,SNH48,SNH48 十六期生,1004,XiongZiYi,20210915125947_kl613114d31806p,443384919
王依柳,64422016,TEAM X,442997428,1213755,1164990,SNH48,SNH48 十六期生,1004,WangYiLiu,20210915130009_5obg0o6g7tyuvdo,443375776
芦馨怡,64487703,TEAM SII,443004994,1148920,1230378,SNH48,SNH48 十六期生,1001,LuXinYi,20210915130029_dvw83qxuiw4n9kh,443715214
朱涵佳,64487705,TEAM SII,442998283,1213948,1279284,SNH48,SNH48 十六期生,1001,ZhuHanJia,20210915130047_eechqzjprm7p8hn,443112140
贝楚涵,64487708,TEAM SII,443003991,1213749,1279274,SNH48,SNH48 十六期生,1001,BeiChuHan,20210915130111_8eegz744wubcg1w,443107128
朱瑞缘,69861644,TEAM C,464171024,1164289,1312244,CKG48,CKG48 五期生,1401,ZhuRuiYuan,20211205184533_34epa6nsfz1mlen,464223129
陈颍琳,69861648,CKG48,464177860,1197580,1295607,CKG48,CKG48 五期生,1404,ChenYingLin,20211205183705_l1efxzyo9t2k64i,464217438
骆羽庭,69861654,TEAM C,464239899,1115380,1312435,CKG48,CKG48 五期生,1401,LuoYuTing,20211205184050_483f7q843r36ejc,464189305
张帆,69861660,CKG48,464194599,1147926,1279528,CKG48,CKG48 五期生,1404,ZhangFan,20211205183656_fpy184827ex3kcw,464202451
刘宇婷,69861663,CKG48,,,,CKG48,CKG48 五期生,1404,LiuYuTing,,
谢金男,69861665,CKG48,464191729,,,CKG48,CKG48 五期生,1404,XieJinNan,20211205183657_b5uva998swptzib,464202443
付美善,69861666,TEAM C,464193385,1099634,1262754,CKG48,CKG48 五期生,1401,FuMeiShan,20211205183431_fl38zrtq66kairc,464236172
郭晓盈,70385972,TEAM E,668845413,951787,1345130,BEJ48,BEJ48 十期生,1102,GuoXiaoYing,20220122223213_7hp4yodbs3as62g,669206250
韩雪,70385975,BEJ48,668829484,1213953,1361906,BEJ48,BEJ48 十期生,1105,HanXue,20220122222422_k9hp16btv0ulp7d,668828878
李思奥,70385982,BEJ48,668812685,1148924,1164566,BEJ48,BEJ48 十期生,1105,LiSiAo,20220122222635_o9njuvi8beuffh0,669009760
林滢,70385987,BEJ48,,,,BEJ48,BEJ48 十期生,1105,LinYing,,
王思奕,70385989,TEAM E,668730543,1147921,1165002,BEJ48,BEJ48 十期生,1102,WangSiYi,20220122222525_bntf6v2vot8cz1l,668960494
王言蹊,70385991,BEJ48,668812879,,,BEJ48,BEJ48 十期生,1105,WangYanQi,20220122222915_w7pmj6vn27ri869,669124538
朱虹蓉,70385998,TEAM E,668812898,1115378,1361909,BEJ48,BEJ48 十期生,1102,ZhuHongRong,20220122223018_l7z134jdcy0ixcq,669189359
黄汝彤,71500014,TEAM NIII,1104987861,1181236,1246214,GNZ48,GNZ48 十一期生,1202,HuangRuTong,20220416110239_vt2al53l38qj2x5,1108116916
惠煜轩,71500016,预备生,1001456798,951790,1230648,GNZ48,GNZ48 十一期生,1207,HuiYuXuan,20220403215938_5mzga3wpapw727c,1002342131
林恩同,71500018,TEAM G,1019856837,1181029,1230649,GNZ48,GNZ48 十一期生,1201,LinEnTong,20220405222702_qew8ki0enie7v53,1344259875
雷淑怡,71500020,预备生,1159317111,1213760,1361327,GNZ48,GNZ48 十一期生,1207,LeiShuYi,20220416115336_y6zvt055rymuqhf,1245480953
罗恩妮,72811098,CKG48,,,,CKG48,CKG48 五期生,1404,LuoEnNi,,
彭含灵,81199151,CKG48,1482409146,1213762,1361331,CKG48,CKG48 五期生,1404,PengHanLing,20220524012839_i2qbwdxmpw65f2u,1483523641
吴睿莎,83099892,TEAM B,1764607240,1148711,1345335,BEJ48,BEJ48 十一期生,1101,WuRuiSha,20220706191038_o8crvcft0t23zor,1780991004
朱力维,83099897,BEJ48,,,,BEJ48,BEJ48 十一期生,1105,ZhuLiWei,,
陆靖婷,83231314,TEAM NIII,1696941858,1115202,1328205,GNZ48,GNZ48 十二期生,1202,LuJingTing,20220628191742_bikisryde9kw1ys,1697203554
刘小涵,87622891,TEAM X,2435418049,1639431,1672569,SNH48,SNH48 十七期生,1004,LiuXiaoHan,20220831021109_g54euvz5ti870nm,2195735816
吕相宜,87622902,TEAM X,2435418051,1607114,1623483,SNH48,SNH48 十七期生,1004,LvXiangYi,20220831021236_i33lo1im7ui8q5k,2195506932
张文婷,87622911,预备生,2435401034,1459676,1737996,SNH48,SNH48 十七期生,1007,ZhangWenTing,20220831021323_124l80l5teq9cp4,2196407471
占迪,89587917,预备生,2435253887,1901836,1901859,SNH48,SNH48 十七期生,1007,ZhanDi,20220929173847_0or8oghlp4g426j,2413709266
施未希,89587920,预备生,2435336134,1803475,1968105,SNH48,SNH48 十七期生,1007,ShiWeiXi,20220929173810_wrri4mexawur5h0,2413299282
陈淑钰,89653427,TEAM G,4344137649,2262617,2557117,GNZ48,GNZ48 十三期生,1201,ChenShuYu,20221009033228_oqhltur64imxkh3,2459617057
郭兆媛,89653428,TEAM CII,4344170091,2164051,2426251,CGT48,GNZ48 十三期生,2101,GuoZhaoYuan,20221009033432_rf8bxeh8ts9fx8e,2459584453
何林燕,89653435,TEAM CII,4344235110,2262998,2541543,CGT48,GNZ48 十三期生,2101,HeLinYan,20221009033448_901ubxjkc58pmz4,2465597296
黄艺暄,89653437,TEAM CII,2459191099,1689005,2016268,CGT48,GNZ48 十三期生,2101,HuangYiXuan,20221009033526_yso7kzab579de7l,2700100781
刘欣媛,89653441,TEAM G,4344202686,2327846,2574259,GNZ48,GNZ48 十三期生,1201,LiuXinYuan,20221009033806_45tl9hnugityv8c,2465564370
林奕希,89653445,TEAM G,4344169994,2148087,2606784,GNZ48,GNZ48 十三期生,1201,LinYiXi,20221009033825_c7o515ro89v44zo,2465597285
马可悦,89653450,TEAM CII,4344235122,2426434,2590626,CGT48,GNZ48 十三期生,2101,MaKeYue,20221009033843_7jann56rk1vdxrd,2459534574
蒙晓丽,89653453,TEAM CII,4344202785,2426435,2622735,CGT48,GNZ48 十三期生,2101,MengXiaoLi,20221009033906_nahipu95uumeqwi,2459944884
秦露丹,89653457,TEAM CII,4344202581,2295536,2491667,CGT48,GNZ48 十三期生,2101,QinLouDan,20221009033927_2zh5ee0pv58x8lo,2465465662
邱刘佳,89653461,TEAM CII,4344202699,2262618,2606392,CGT48,GNZ48 十三期生,2101,QiuLiuJia,20221009033953_nfs492zpka1iys3,2459960536
宋筱璐,89653462,TEAM CII,4344153164,2229297,2754411,CGT48,GNZ48 十三期生,2101,SongXiaoLu,20221009034014_e83u77ykme3es9i,2465940713
申雨鑫,89653465,TEAM CII,4344170079,2328251,2754248,CGT48,GNZ48 十三期生,2101,ShenYuXin,20221009034038_whb5jqm27yeghn0,2459977331
谭思慧,89653513,TEAM CII,4344170193,2262216,2769985,CGT48,GNZ48 十三期生,2101,TanSiHui,20221009034056_idr46zdqlz1pk21,2459912003
王语晨,89653517,TEAM NIII,4344202809,2278592,2541547,GNZ48,GNZ48 十三期生,1202,WangYuChen,20221009034119_vynj56ve0qs66sr,2466022879
夏莹,89653520,TEAM CII,4344153264,2344009,2688374,CGT48,GNZ48 十三期生,2101,XiaYing,20221009034148_0l0nq8e48ry7jbc,2465990576
许雅兰,89653525,TEAM CII,4344235143,2197175,2720929,CGT48,GNZ48 十三期生,2101,XuYaLan,20221009034214_as0otizmupa6x8f,2465973263
叶溁语,89653527,TEAM Z,4344153407,2328252,2655881,GNZ48,GNZ48 十三期生,1203,YeYingYu,20221009034236_pfby5dfi0noitx0,2459977432
钟洁玟,89653528,TEAM CII,4344202918,2295537,2655671,CGT48,GNZ48 十三期生,2101,ZhongJieWen,20221009034303_q03d9937tj39mkv,2459960480
周是汝,89653530,TEAM CII,4344235537,2312098,2770185,CGT48,GNZ48 十三期生,2101,ZhouShiRu,20221009034324_3d1dyp7kcaeu0st,2465925093
张芷欣,89653537,预备生,4344153400,2196977,2574091,CGT48,GNZ48 十三期生,2103,ZhangZhiXin,20221009034345_cd33lffrq7h09q1,2465940501
马欣宇,95552277,TEAM E,4344235332,2901484,3507494,BEJ48,BEJ48 十二期生,1102,MaXinYu,20230114205958_x73aalldlf6sv1m,3130623118
郑照暄,95552291,TEAM B,4344153480,2803371,3491148,BEJ48,BEJ48 十二期生,1101,ZhengZhaoXuan,20230114210025_kud8mzko4wgin0b,3130623265
高梓萌,100073653,BEJ48,4344185952,4818677,5637695,BEJ48,BEJ48 十二期生,1105,GaoZiMeng,20230408001602_7ct2yzp1jjai776,4003513662
聂渝景,100073654,TEAM B,4344185965,4884312,5850577,BEJ48,BEJ48 十二期生,1101,NieYuJing,20230408001623_tc5os3p724arkpe,4003366894
庄雅雯,100073656,TEAM E,4344186000,4769395,5670016,BEJ48,BEJ48 十二期生,1102,ZhuangYaWen,20230408001642_6p97vvm7h3o2wni,4003645243
李歆乐,103350419,TEAM E,,5359579,6423647,BEJ48,BEJ48 十二期生,1102,LiXinLe,20230514175250_1yowdosbpzxuyku,4403529539
朱一柠,103350420,TEAM B,,5457150,6407902,BEJ48,BEJ48 十二期生,1101,ZhuYiNing,20230514175250_n03y6g29g5m02jn,4403512650
卢晨昕,103679154,预备生,4344251760,5080426,6260545,SNH48,SNH48 十八期生,1007,LuChenXin,20230504181400_tlnc390hi8jt6z9,4245243861
李虞龙若,103679162,TEAM HII,4344186101,5277545,6276106,SNH48,SNH48 十八期生,1003,LiYuLongRuo,20230504181416_34l5htpoy4bwd5p,4246669254
温若其,103679163,TEAM HII,4344235700,5310065,6276505,SNH48,SNH48 十八期生,1003,WenRuoQi,20230504181437_hyoyewjte0fanfv,4263151137
许佳佳,103679165,TEAM NII,4344203140,5309666,6293265,SNH48,SNH48 十八期生,1002,XuJiaJia,20230504181453_0c1j2l4bee6gz6x,4253484459
尤可莹,103679169,TEAM HII,4344251949,5293105,6194906,SNH48,SNH48 十八期生,1003,YouKeYing,20230504181513_2p3v7n2lnv1lszf,4244785036
杨心渝,103679171,TEAM SII,4344186091,5342585,6129467,SNH48,SNH48 十八期生,1001,YangXinYu,20230504181527_vm1wa5u4gcjjpmh,4254385728
周童玥,103679173,TEAM SII,4344186207,5310265,6194706,SNH48,SNH48 十八期生,1001,ZhouTongYue,20230504181540_zr9ndtjbvpmtt0m,4245538563
张怡婷,103679182,TEAM X,4344218855,5325825,6194907,SNH48,SNH48 十八期生,1004,ZhangYiTing,20230504181553_a15sx01uuw0u4dj,4244997187
陈珊玲,103940353,TEAM Z,4344203179,5326477,6112968,GNZ48,GNZ48 十四期生,1203,ChenShanLing,20230506184724_7k7x4m4mosgxijh,4281287782
荣子彤,103940355,预备生,4344235802,5375361,6194561,GNZ48,GNZ48 十四期生,1207,RongZiTong,20230506184742_b6v8q4ltv3dqeu0,4280731370
陶慧,103940359,预备生,4344252245,5260633,6194366,GNZ48,GNZ48 十四期生,1207,TaoHui,20230506184804_u44n5fne5jd7hu9,4281255785
CGT48,105578951,,,,,官方,官方,,CGT48,,
程妤涵,105709986,TEAM GII,,5948568,7095393,CGT48,CGT48 一期生,2102,ChengYuHan,20230602185645_bp4i3e8uhdzny8o,4511925628
何蔡娴,105709987,TEAM GII,,5948569,7095802,CGT48,CGT48 一期生,2102,HeCaiXian,20230602185646_7mv0ovzr0w7dos4,4512221026
何梦迪,105709989,TEAM GII,,5932807,7014193,CGT48,CGT48 一期生,2102,HeMengDi,20230602185646_o4fvju2x9gl95f6,4512777596
何渝欣,105709993,TEAM GII,,5916657,6964541,CGT48,CGT48 一期生,2102,HeYuXin,20230602185646_14y9ydn4prckqyv,4512106163
林海盈,105709997,TEAM GII,,5899297,6932016,CGT48,CGT48 一期生,2102,LinHaiYing,20230602185646_l54gozvs1bpq92g,4513350677
雷相菊,105710002,TEAM GII,,6014213,7096198,CGT48,CGT48 一期生,2102,LeiXiangJu,20230602185646_59n6r11zt2xur61,4512106245
雷薪梦,105710010,TEAM GII,,5834259,6965135,CGT48,CGT48 一期生,2102,LeiXinMeng,20230602185646_jcz6wbhnttuycdo,7544522091
袁艺洁,105710012,TEAM GII,,5867179,7046528,CGT48,CGT48 一期生,2102,YuanYiJie,20230602185646_nsrd1r7783ib178,4512761331
徐钰涵,105710014,TEAM GII,,5850210,6981092,CGT48,CGT48 一期生,2102,XuYuHan,20230602185646_337yul195462xc3,4521625420
王艺霖,105710015,TEAM GII,,5932227,6932209,CGT48,CGT48 一期生,2102,WangYiLin,20230602185647_zzyonqfz6l8v11v,4512384734
齐灵泉,105710019,TEAM GII,,5916460,7095600,CGT48,CGT48 一期生,2102,QiLingQuan,20230602185647_50b803i9pviyo9i,4512040885
王依,105710021,TEAM GII,,5833861,7079636,CGT48,CGT48 一期生,2102,WangYi,20230602185647_cu53ah0mwzohm1u,4513301549
任烨彦,105710022,TEAM GII,,5866980,6866365,CGT48,CGT48 一期生,2102,RenYeYan,20230602185647_8ifx14htjjrigb2,4512728744
谭勇航,105710026,TEAM GII,,5883730,7014194,CGT48,CGT48 一期生,2102,TanYongHang,20230602185647_u9ik8yh0dfzpzct,4513072329
陈韵佳,105710061,TEAM K,,5916053,7079249,CKG48,CKG48 六期生,1402,ChenYunJia,20230602203833_7h7t1n5tls8y0i3,4512532082
胡丹,105710067,TEAM K,,5981509,7029773,CKG48,CKG48 六期生,1402,HuDan,20230602203833_z6e3oimzdtz9vc8,4512777388
何馨曼,105710072,TEAM K,,5752250,7046915,CKG48,CKG48 六期生,1402,HeXinMan,20230602203833_fqin9appy25p945,4511679951
姬梦真,105710077,TEAM K,,5850421,7046717,CKG48,CKG48 六期生,1402,JiMengZhen,20230602203833_c8265mp0k78ccey,4512400420
卢美廷,105710082,TEAM K,,5850825,7062704,CKG48,CKG48 六期生,1402,LuMeiTing,20230602203833_jhoc8z5bt6g3vk5,4512122690
刘星雨,105710086,TEAM K,,6046942,7030562,CKG48,CKG48 六期生,1402,LiuXingYu,20230602203834_5mm1tew45g3m41p,4511762001
马星月,105710089,TEAM K,,5900098,7079461,CKG48,CKG48 六期生,1402,MaXingYue,20230602203834_300s552ljuk4aj0,4511991471
彭夕株,105710094,IDFT,,5883527,6981288,IDFT,CKG48 六期生,1501,PengXiZhu,20230602203834_j0etxuh6khgultl,4511859878
吴志越,105710098,TEAM K,,5932619,7063473,CKG48,CKG48 六期生,1402,WuZhiYue,20230602203834_04o16yzxqkxb3eo,4512351870
杨添淩,105710107,IDFT,,6014424,6866770,IDFT,CKG48 六期生,1501,YangTianLing,20230602203834_vivqbvhywy38lsb,4512433656
张莉莉,105710113,TEAM K,,6014215,7079026,CKG48,CKG48 六期生,1402,ZhangLiLi,20230602203834_9w8zbjgw2doe91f,4512450518
张思妍,105710121,TEAM K,,5882937,7046918,CKG48,CKG48 六期生,1402,ZhangSiYan,20230602203834_gvu458zd9t91mby,4512810885
张伟依,105710127,TEAM K,,5932809,7096006,CKG48,CKG48 六期生,1402,ZhangWeiYi,20230602203834_7s2qv3kqkjcr38k,4512499624
张咏烨,105710135,TEAM K,,5818295,7095603,CKG48,CKG48 六期生,1402,ZhangYongYe,20230602203834_e44mt7pebtr5lop,4512023703
程宝玉,105710357,TEAM GII,,5932621,7079463,CGT48,CGT48 一期生,2102,ChengBaoYu,20230602223449_pw9lahtd3sdcrqh,4522051148
吴云,105710368,TEAM GII,,5866981,7079643,CGT48,CGT48 一期生,2102,WuYun,20230602223449_568mai09e0334ao,4523181511
张钰叶,105710390,TEAM K,,5915660,7046532,CKG48,CKG48 六期生,1402,ZhangYuYe,20230602223449_259wud9b52908l6,4521837726
阿丽米热,112525372,预备生,,8882149,13960564,BEJ48,BEJ48 十三期生,1104,ALiMiRe,20230927122508_y6a7e28atr59r3b,5695752187
陈枳霏,112525375,TEAM E,,8635743,11257562,BEJ48,BEJ48 十三期生,1102,ChenZhiFei,20230927122508_q1b9q2iuni4q9ev,5695816983
刁昕妤,112525376,TEAM E,,8619361,11339561,BEJ48,BEJ48 十三期生,1102,DiaoXinYu,20230927122508_66wh81dq73m4x79,5695784674
高予瑾,112525377,TEAM B,,8652089,11289676,BEJ48,BEJ48 十三期生,1101,GaoYuJin,20230927122508_amleqwcdzz32wrj,5687248590
孟清渝,112525381,TEAM B,,8652292,11241399,BEJ48,BEJ48 十三期生,1101,MengQingYu,20230927122508_tmu2dd7v724us1y,5687297244
沈祉含,112525382,TEAM B,,8717914,11339161,BEJ48,BEJ48 十三期生,1101,ShenZhiHan,20230927122509_z5gmif3jjrrurvp,5687281243
孙嘉馥,112525384,TEAM E,,8800110,11191530,BEJ48,BEJ48 十三期生,1102,SunJiaFu,20230927122509_biw9gn4lew0s9jy,5695833820
王祉依,112525388,TEAM B,,8718321,11043853,BEJ48,BEJ48 十三期生,1101,WangZhiYi,20230927122509_wb7ea7n7qsfcbkx,5687248243
袁涵,112525391,TEAM E,,8815869,11225054,BEJ48,BEJ48 十三期生,1102,YuanHan,20230927122509_m60g7b6pw2167gq,5695833764
张歆如,112525394,TEAM B,,8734301,11224641,BEJ48,BEJ48 十三期生,1101,ZhangXinRu,20230927122509_3zkwoq6vlxo5f6g,5687248594
丁嘉欣,113443103,TEAM Z,,9028787,11110365,GNZ48,GNZ48 十五期生,1203,DingJiaXin,20230930143149_4ibh5lw1fngksyu,5780359112
林家谊,113443132,TEAM G,,8767215,11208320,GNZ48,GNZ48 十五期生,1201,LinJiaYi,20230930143149_6xp1s69t6d95v3t,9070167540
孙毓园,113443134,预备生,,8652699,11208129,GNZ48,GNZ48 十五期生,1207,SunYuYuan,20230930143149_397ff52cy7u4t5y,5780375385
王珺,113443135,TEAM NIII,,8881555,11322816,GNZ48,GNZ48 十五期生,1202,WangJun,20230930143150_10gzi629871wmfu,5780178730
谢晓倩,113443136,TEAM NIII,,9028788,11191555,GNZ48,GNZ48 十五期生,1202,XieXiaoQian,20230930143150_zs6qul8bmmeo5iu,5786420477
石梦湲,113443137,TEAM C,,8603007,11338787,CKG48,CKG48 七期生,1401,ShiMengYuan,20230930143150_3s8h901p4erb7q7,5720491452
谭景文,113443141,TEAM C,,8881553,11273343,CKG48,CKG48 七期生,1401,TanJingWen,20230930143150_lddvjhqy2a9jzf4,5720556992
王思予,113443142,TEAM C,,8652696,11257172,CKG48,CKG48 七期生,1401,WangSiYu,20230930143150_fulr1s18ae5szmx,
梁怀方,113575079,TEAM HII,,8832661,11257174,SNH48,SNH48 十九期生,1003,LiangHuaiFang,20231001000630_xolg89hdjngpw1l,5738431906
唐程成,113575089,TEAM NII,,8963151,11404587,SNH48,SNH48 十九期生,1002,TangChengCheng,20231001000631_lznzb95pxi9y91i,5737120856
王悦垚,113575092,TEAM X,,8652493,11273940,SNH48,SNH48 十九期生,1004,WangYueYao,20231001000631_13thu3ab77echs2,5748196794
王紫澍,113575097,预备生,,8865605,11208315,SNH48,SNH48 十九期生,1007,WangZiShu,20231001000631_dsfagydz4k6uaxy,5788189750
叶凡,113575101,TEAM NII,,8815699,11274137,SNH48,SNH48 十九期生,1002,YeFan,20231001000631_2a1uo0736qxj0o8,5738153929
张倩,113575106,TEAM SII,,8996471,11143084,SNH48,SNH48 十九期生,1001,ZhangQian,20231001000631_001ygv4v9q8nc79,5738186306
陈萧扬,115343491,TEAM C,,9209212,11699832,CKG48,CKG48 七期生,1401,ChenXiaoYang,20231029165757_gifx20x9l8lxtb0,5984617728
胡思颖,115343492,TEAM K,,9094216,11879543,CKG48,CKG48 七期生,1402,HuSiYing,20231029165822_6kxxr9g5exh2ous,5984847398
林丹蕾,115343493,TEAM C,,9307736,11831083,CKG48,CKG48 七期生,1401,LinDanLei,20231029165904_8t087p1k3evo4lk,5984929094
申家璐,115343494,预备生,,9438621,12044141,CKG48,CKG48 七期生,1405,ShenJiaLu,20231029165842_datx8tud2jgusbc,5985338439
张瀚引,115671365,预备生,,9225417,12059750,SNH48,SNH48 十九期生,1007,ZhangHanYin,20231101205619_tbm0p2cl1r0y1an,6036063993
丁子钦,118423773,TEAM E,,10405469,13830099,BEJ48,BEJ48 十三期生,1102,DingZiQin,20231224164240_7ih96y85a9nahag,6465324539
焦玥,118489333,TEAM Z,,10421385,13747865,GNZ48,GNZ48 十六期生,1203,JiaoYue,20231215215615_luxtgp6t9c85abx,6392890702
李咏薇,118489334,TEAM NIII,,10421585,13861988,GNZ48,GNZ48 十六期生,1202,LiYongWei,20231215215615_woqkleqv5mfzvj1,6392825278
兰雅心,118489336,IDFT,,10421785,13829665,IDFT,CGT48 二期生,1501,LanYaXin,20231215215615_0br82lz3tj2gb16,
梅思华,118489338,TEAM CII,,10405826,13878946,CGT48,CGT48 二期生,2101,MeiSiHua,20231215215615_qfp6swp68y900q1,6393054681
徐钰清,118489339,TEAM CII,,10503986,13796748,CGT48,CGT48 二期生,2101,XuYuQing,20231215215616_zdsn8s9w1vyh8k7,6392956785
张羽多,118489340,TEAM CII,,10470665,13796946,CGT48,CGT48 二期生,2101,ZhangYuDuo,20231215215616_u14uel5ulv148wp,6392907063
张咏琪,118489341,预备生,,10470865,13879145,CGT48,CGT48 二期生,2103,ZhangYongQi,20231215215616_1eukdcbmuga69xo,6392907211
马蕴珊,123011508,TEAM B,,12141705,15992124,BEJ48,BEJ48 十四期生,1101,MaYunShan,20240310170237_86b79oehbh9d2yr,7193036456
马丹旎,124518603,IDFT,,12535051,16582175,IDFT,CGT48 二期生,1501,MaDanNi,20240316161533_88sgj210n3wsrnk,7249954137
陈真允一,124584289,TEAM HII,,12682288,16663970,SNH48,SNH48 二十期生,1003,ChenZhenYunYi,20240316161638_30beazthfb3z475,7251002784
罗颍宸,124584293,预备生,,12666330,16647210,SNH48,SNH48 二十期生,1007,LuoYingChen,20240316161804_5p7hlgk9el07or5,
吴欣怡,124584295,预备生,,12518888,16598327,SNH48,SNH48 二十期生,1007,WuXinYi,20240316161829_7t1rf2sve86xjwp,7252297392
夏奕欣,124584297,预备生,,12469811,16549468,SNH48,SNH48 二十期生,1007,XiaYiXin,20240316161711_v5rj3069zvm6er8,7251510506
张曼妮,124584300,预备生,,12519099,16663576,SNH48,SNH48 二十期生,1007,ZhangManNi,20240316161739_k9gaxns8m2fu257,
温冰冰,124584304,预备生,,12567766,16549254,SNH48,SNH48 二十期生,1007,WenBingBing,20240316161855_athmvjo5ehkbitr,
陈艺,126681220,TEAM B,,13698749,18368388,BEJ48,BEJ48 十四期生,1101,ChenYi,20240427112435_l496nbxn3adz5dl,7655802458
