ownerName,id,team,roomId,serverId,channelId,groupName,periodName,teamId,pinyin,account,liveRoomId
袁希璨,127533255,TEAM K,,13633532,18319144,CKG48,CKG48 八期生,1402,YuanXiCan,20240501201807_twcyl295gv5clao,
姚锦杰,127533256,TEAM C,,13583848,18416896,CKG48,CKG48 八期生,1401,YaoJinJie,20240501201909_hw85wq8j3yfjs0q,7697729124
陈芷晴,128057653,预备生,,14354385,19137705,SNH48,SNH48 二十期生,1007,ChenZhiQing,20240508175549_bibnody5vkzot99,7767426405
潘力帼,128057655,预备生,,14550315,19072066,SNH48,SNH48 二十期生,1007,PanLiGuo,20240508175615_3t9dwkw7ri6upr5,7767295999
孔渊,128581633,TEAM G,,14731076,19482486,GNZ48,GNZ48 十六期生,1201,KongYuan,20240517141008_ck7lqadler764oi,7855802220
梁子瑄,128581634,预备生,,14550315,19580433,GNZ48,GNZ48 十六期生,1207,LiangZiXuan,20240517141008_0f0y4pcqw5pqg9g,7855801367
许涵婧,128581635,TEAM NIII,,14697555,19417041,GNZ48,GNZ48 十六期生,1202,XuHanJing,20240517141008_9mizev2dz1rp4r5,7855654071
杨雅雯,128581636,IDFT,,14616362,19531160,IDFT,GNZ48 十六期生,1501,YangYaWen,20240517141008_eiuixq8wy92oqcz,7855736244
赵文凤,128581637,TEAM NIII,,14649277,19449764,GNZ48,GNZ48 十六期生,1202,ZhaoWenFeng,20240517141008_bgqx34xt07id20b,7855949706
郭琬苏,129564673,预备生,,14550597,19547998,CGT48,CGT48 三期生,2103,GuoWanSu,20240603132539_mjimchvy34ebjjz,
李秋月,129564674,TEAM GII,,14779816,19465614,CGT48,CGT48 三期生,2102,LiQiuYue,20240603132539_ifv692c3x0vi3ke,8043480438
王宇清,129564675,预备生,,14747106,19564371,CGT48,CGT48 三期生,2103,WangYuQing,20240603132539_mywuvv35u4ad41b,8043464159
杨子涵,129564676,预备生,,14550598,19465617,CGT48,CGT48 三期生,2103,YangZiHan,20240603132539_ou6a5gpv05hv8pr,8045348149
张沁芝,129564677,预备生,,14616441,19580713,CGT48,CGT48 三期生,2103,ZhangQinZhi,20240603132539_utgry54rt5oyb7o,8045315588
包楹,134480598,TEAM B,,16910176,22791428,BEJ48,BEJ48 十五期生,1101,BaoYing,20240823145210_xk1m7bsobh4c90i,9013855888
谷雨馨,134480605,预备生,,16877451,22742538,BEJ48,BEJ48 十五期生,1104,GuYuXin,20240823145211_2nxagbc6votk5tq,9013871939
金宛莹,134480623,TEAM B,,16958859,22791429,BEJ48,BEJ48 十五期生,1101,JinWanYing,20240823145211_7zi6298mepdknsr,9014167110
马明萱,134480629,TEAM E,,16877452,22775064,BEJ48,BEJ48 十五期生,1102,MaMingXuan,20240823145211_h56la56dtgqzw95,9014413252
单子涵,134480638,TEAM B,,17056818,22775065,BEJ48,BEJ48 十五期生,1101,ShanZiHan,20240823145211_52xgdjb7c25hg3j,9014461487
王佳琪,134480650,TEAM B,,16860292,22726581,BEJ48,BEJ48 十五期生,1101,WangJiaQi,20240823145211_eh7hckd42kecotl,9013986656
王苏南,134480654,IDFT,,16877453,22693667,IDFT,BEJ48 十五期生,1501,WangSuNan,20240823145211_10k95dib84pxudq,9014019542
张颂宁,134480670,预备生,,16958860,22758703,BEJ48,BEJ48 十五期生,1104,ZhangSongNing,20240823145211_olff4b7rbr0mpc5,9014134318
朱玥彤,134480674,TEAM E,,16909974,22676699,BEJ48,BEJ48 十五期生,1102,ZhuYueTong,20240823145211_okj60oll0gix629,9015199418
陈俞希,135463849,TEAM HII,,17482968,23496603,SNH48,SNH48 二十一期生,1003,ChenYuXi,20240915183102_1evvd3mal9279z1,9170667069
金泓言,135463855,TEAM X,,17401220,23414251,SNH48,SNH48 二十一期生,1004,JinHongYan,20240915183103_v594lue1ytmjh32,9169847306
李妍,135463871,TEAM X,,17434486,23430772,SNH48,SNH48 二十一期生,1004,LiYan,20240915183103_e9lsdl6x1ullpu0,9171125738
李子忻,135463877,TEAM X,,17434311,23495776,SNH48,SNH48 二十一期生,1004,LiZiXin,20240915183103_e4poyb9226r7vza,9170749310
杨秋野,135463881,TEAM X,,17499705,23414400,SNH48,SNH48 二十一期生,1004,YangQiuYe,20240915183103_k0991zjt15w0hg2,9169929280
肖彦竹,135463889,TEAM NII,,17532662,23414401,SNH48,SNH48 二十一期生,1002,XiaoYanZhu,20240915183103_j6028zk8rm7od63,9170683892
张雷雷,135463898,TEAM SII,,17483161,23545491,SNH48,SNH48 二十一期生,1001,ZhangLeiLei,20240915183103_30dyzoexuxvoscz,9170699777
朱文露,135987436,TEAM C,,17138716,23331889,CKG48,CKG48 八期生,1401,ZhuWenLou,20240907150325_okdyjrsznt17dh9,
郝茹馨,135987437,TEAM C,,17138715,23332088,CKG48,CKG48 八期生,1401,HaoRuXin,20240907150325_ay4yo87tl1wkgoj,
白佳媛,136446097,TEAM NIII,,17401218,23529081,GNZ48,GNZ48 十七期生,1202,BaiJiaYuan,20240915174503_c319rxbmwrsbth6,9149482626
鲍雨欣,136446098,TEAM G,,17532477,23512768,GNZ48,GNZ48 十七期生,1201,BaoYuXin,20240915174503_8vg5txsid80twen,9149973874
雷瑞妍,136446099,TEAM G,,17548418,23430557,GNZ48,GNZ48 十七期生,1201,LeiRuiYan,20240915174503_1tqxj231po6lxsa,9149711655
林仪,136446104,预备生,,17352234,23495771,GNZ48,GNZ48 十七期生,1207,LinYi,20240915174503_uyvbn69ftic7kiz,9150465362
唐果,136446105,TEAM G,,17401219,23545826,GNZ48,GNZ48 十七期生,1201,TangGuo,20240915174503_hbw49b557s5wxae,
王阙蝶舞,136446107,TEAM NIII,,17335679,23414249,GNZ48,GNZ48 十七期生,1202,WangQueDieWu,20240915174503_x8ixgq2qevuohqj,9150973304
许泳怡,136446108,TEAM Z,,17482967,23512771,GNZ48,GNZ48 十七期生,1203,XuYongYi,20240915174503_5fji5xd6dk1qlcv,9150105586
徐郑子滢,136446110,TEAM NIII,,17482815,23495972,GNZ48,GNZ48 十七期生,1202,XuZhengZiYing,20240915174503_xm0vjuw38qimg8j,9151055033
郭依晨,138608878,TEAM E,,18532044,25281812,BEJ48,BEJ48 十五期生,1102,GuoYiChen,20241109113330_lgqq8m09t3w1kaq,9766864235
Magic,140509404,燃烧吧团魂,,17814106,23941208,燃烧吧团魂,团魂,8001,Magic,20241119110031_zx46kux9nky16ay,
NaVI,140509406,燃烧吧团魂,,17863587,23892091,燃烧吧团魂,团魂,8001,NaVI,20241119113634_irdcgez827o7t0a,
大家一起喜洋洋,140509407,燃烧吧团魂,,17780976,23892689,燃烧吧团魂,团魂,8001,DaJiaYiQiXiYangYang,20241120011351_ephh8399y38q7sc,
对对队,140509409,燃烧吧团魂,,17862787,23810117,燃烧吧团魂,团魂,8001,DuiDuiDui,20241119170258_0m2j12cveg61xk2,
多干几票就润,140509410,燃烧吧团魂,,17863386,23942004,燃烧吧团魂,团魂,8001,DuoGanJiPiaoJiuRun,20241119164653_05d4bpk625ej9a1,
星云少女,140509411,燃烧吧团魂,,17863588,23892092,燃烧吧团魂,团魂,8001,XingYunShaoNv,20241119164703_gvz00cm9447pjti,
这就是街舞,140509412,燃烧吧团魂,,17846431,23892093,燃烧吧团魂,团魂,8001,ZheJiuShiJieWu,20241126164837_myhvyxbvz8gthfp,
猪突猛进,140509416,燃烧吧团魂,,17813892,23892692,燃烧吧团魂,团魂,8001,ZhuTuMengJin,20241124205528_kx2ly01vnmjxevv,
最美啦芭,140509417,燃烧吧团魂,,17862788,23942007,燃烧吧团魂,团魂,8001,ZuiMeiLaBa,20241126164941_42n9026op69z9o6,
并夕夕,140509418,燃烧吧团魂,,17863387,23794545,燃烧吧团魂,团魂,8001,BingXiXi,20241126165016_f50yhvqxco7n45g,
成都第一天团,140509419,燃烧吧团魂,,17863589,23794547,燃烧吧团魂,团魂,8001,ChengDuDiYiTianTuan,20241125210132_zam81j6bx4cgi74,
第六人格,140509420,燃烧吧团魂,,17863388,23794548,燃烧吧团魂,团魂,8001,DiLiuRenGe,20241126165104_h48t8ci68aj98c9,
和一姐一起拿第一队,140509423,燃烧吧团魂,,17846432,23794550,燃烧吧团魂,团魂,8001,HeYiJieYiQiNaDiYiDui,20241126165140_6zcn0xezt7y4v38,
E起来耍,140574885,燃烧吧团魂,,17862789,23810122,燃烧吧团魂,团魂,8001,EQiLaiShua,20241120163626_r196egva9n8tebf,
TEAM-BB,140574886,燃烧吧团魂,,17813713,23810124,燃烧吧团魂,团魂,8001,TEAM-BB,20241126165213_fjvkygwk0s2lya2,
夜莺,140574887,燃烧吧团魂,,17830891,23925069,燃烧吧团魂,团魂,8001,YeYing,20241120211645_11zbkoovi8wtc36,
5IRE,140574888,燃烧吧团魂,,17863211,23892101,燃烧吧团魂,团魂,8001,5IRE,20241126165259_9rnhuyi1q9zsl5o,
不如跳5,140574889,燃烧吧团魂,,17830892,23941398,燃烧吧团魂,团魂,8001,BuRuTiao5,20241126165331_kt5o6iwg888pj51,
课间进行曲,140574890,燃烧吧团魂,,17847258,24007011,燃烧吧团魂,团魂,8001,KeJianJinXingQu,20241126165418_5wq488uoq3d334r,
麻辣女bang,140574891,燃烧吧团魂,,17813893,23991263,燃烧吧团魂,团魂,8001,MaLaNvbang,20241120150759_oozhkwc0iyc5l0d,
美少女先疯队,140574892,燃烧吧团魂,,17813538,23941216,燃烧吧团魂,团魂,8001,MeiShaoNvXianFengDui,20241120143636_u8hajjj42x53wbt,
末路狂花,140574893,燃烧吧团魂,,17814107,23942015,燃烧吧团魂,团魂,8001,MoLuKuangHua,20241126165518_jc7dl2eilqhmcq7,
丝禧丸子,140574894,燃烧吧团魂,,17780977,23941402,燃烧吧团魂,团魂,8001,SiXiWanZi,20241120200234_bk1l6s9y4wklawk,
我说的都队,140574895,燃烧吧团魂,,17781387,23794555,燃烧吧团魂,团魂,8001,WoShuoDeDouDui,20241126165602_4p5hx56zb773gm9,
刘思田,141033581,预备生,,17863562,23794517,CKG48,CKG48 八期生,1405,LiuSiTian,20241124144649_wdmrbnvj38eeks9,
徐沁楠,141033582,TEAM C,,17862959,23876517,CKG48,CKG48 八期生,1401,XuQinNan,20241124144649_0vlo5fnqj0fp9cz,
卓思佳,141033583,TEAM K,,17862960,23925205,CKG48,CKG48 八期生,1402,ZhuoSiJia,20241124144649_5fanjk8tt7wvtsp,
复活者联盟,141623681,燃烧吧团魂,,17961750,24024044,燃烧吧团魂,团魂,8001,FuHuoZheLianMeng,20241201170424_euc7t731zd8azvo,
朱怡霖,143130754,预备生,,27022169,33739011,CKG48,CKG48 八期生,1405,ZhuYiLin,20250308180552_7yhneoqmx2vplsy,
秦晓芸,143130756,预备生,,27038556,33624089,CKG48,CKG48 八期生,1405,QinXiaoYun,20250308180552_1ka196api1yag48,
陈子悦,143130759,TEAM K,,27038151,33788466,CKG48,CKG48 八期生,1402,ChenZiYue,20250308180552_5qhc4gcz69j0buq,
刘艾萌,143130760,预备生,,27071470,33755772,CKG48,CKG48 八期生,1405,LiuAiMeng,20250308180552_h287jrjaz85t5iz,
刘莹莹,143130762,TEAM C,,27038350,33624670,CKG48,CKG48 八期生,1401,LiuYingYing,20250308180552_m2zowthp35twofl,
罗婕桢,143130773,TEAM C,,27021582,33755771,CKG48,CKG48 八期生,1401,LuoJieZhen,20250308180551_ut5i4yqvxxqaz51,
偶像初见计划,143130774,预备生,,,,CKG48,CKG48 八期生,1405,OuXiangChuJianJiHua,,
陈诗莹,143261831,IDFT,,18469325,24760835,IDFT,GNZ48 十八期生,1501,ChenShiYing,20241227192752_vhchbvmhjvuahez,9428472829
和丹丹,143261836,预备生,,18436413,24793939,GNZ48,GNZ48 十八期生,1207,HeDanDan,20241227192753_bintfgm83m5bsq6,9428275690
万芳源,143261838,预备生,,18420248,24695394,GNZ48,GNZ48 十八期生,1207,WanFangYuan,20241227192753_w4vj6cxln6rf4a5,
张佳仪,143261839,TEAM NIII,,18468953,24760836,GNZ48,GNZ48 十八期生,1202,ZhangJiaYi,20241227192753_33kcdesguerh81r,
谢林容,143524105,预备生,,18567466,24908222,GNZ48,GNZ48 十八期生,1207,XieLinRong,20250101005123_589m5t7oe2mfiy6,9459716809
朱丽娜,143524107,TEAM G,,18502041,24973331,GNZ48,GNZ48 十八期生,1201,ZhuLiNa,20250101005122_6u64w46x1fmacht,9468252673
乔诗然,147783848,TEAM E,,27103769,33788085,BEJ48,BEJ48 十六期生,1102,QiaoShiRan,20250316192530_s2sb7d8g9ub2lw2,
冯雪,149356877,预备生,,27480618,34246898,SNH48,SNH48 二十二期生,1007,FengXue,20250408120142_2noy6xrr54fu69a,
龚晨美,149356878,TEAM HII,,27431537,34280419,SNH48,SNH48 二十二期生,1003,GongChenMei,20250408120142_qj9jqbm8klvv1gt,
黄紫怡,149356880,TEAM NII,,27513537,34345057,SNH48,SNH48 二十二期生,1002,HuangZiYi,20250408120143_vjnt2prtk1b2fmi,
蒋夏羽,149356882,TEAM SII,,27431737,34280020,SNH48,SNH48 二十二期生,1001,JiangXiaYu,20250408120143_zo1085sff3jbrkb,
康楚翊,149356883,TEAM HII,,27398418,34230939,SNH48,SNH48 二十二期生,1003,KangChuYi,20250408120143_ylm5spt4oz6b9gy,
李嘉怡,149356888,预备生,,27497377,34230940,SNH48,SNH48 二十二期生,1007,LiJiaYi,20250408120143_2zbn4h8hq4w853i,
李芊,149356889,预备生,,27431738,34246901,SNH48,SNH48 二十二期生,1007,LiQian,20250408120143_3yjeti5sngraev7,
阙佳慧,149356891,TEAM HII,,27398617,34280023,SNH48,SNH48 二十二期生,1003,QueJiaHui,20250408120143_nf15k8z95oerulo,
盛乐,149356896,TEAM SII,,27398419,34296180,SNH48,SNH48 二十二期生,1001,ShengYue,20250408120143_7x4cqj92p6a212f,
覃柯蒙,149356897,TEAM HII,,27398618,34279822,SNH48,SNH48 二十二期生,1003,QinKeMeng,20250408120143_zey565u6ysw772l,
王禹诺,149356898,预备生,,27512937,34329306,SNH48,SNH48 二十二期生,1007,WangYuNuo,20250408120143_s9rhryq9xwg0faq,
应籽言,149356902,TEAM HII,,27497378,34345257,SNH48,SNH48 二十二期生,1003,YingZiYan,20250408120143_wh65lcpxl660j8m,
谢珊珊,149356903,TEAM NII,,27513137,34280028,SNH48,SNH48 二十二期生,1002,XieShanShan,20250408120143_k7ztm0tvpolwbbp,
张婷婷,149356905,TEAM E,,27513337,34198221,BEJ48,SNH48 二十二期生,1102,ZhangTingTing,20250408120143_04mi1unriu1a20w,
徐一平,149356906,预备生,,27480619,34198027,SNH48,SNH48 二十二期生,1007,XuYiPing,20250408120143_73tmpfo9x6o954w,
钟亚男,149356907,TEAM NII,,27398619,34198223,SNH48,SNH48 二十二期生,1002,ZhongYaNan,20250408115650_ghdjbyk57bxu4m6,
易思桐,151126114,预备生,,,,CGT48,CGT48 四期生,2103,YiSiTong,,
程怡雯,151126135,预备生,,27758935,34607927,CGT48,CGT48 四期生,2103,ChengYiWen,,
耿钰嘉,151126137,预备生,,27873459,34673222,CGT48,CGT48 四期生,2103,GengYuJia,,
胡琪涵,151126138,预备生,,27791483,34705524,CGT48,CGT48 四期生,2103,HuQiHan,,
黄蔚,151126141,TEAM CII,,27824825,34705699,CGT48,CGT48 四期生,2101,HuangWei,,
李怡淳,151126143,预备生,,27791484,34673418,CGT48,CGT48 四期生,2103,LiYiChun,,
王相懿,151126144,预备生,,27759293,34607930,CGT48,CGT48 四期生,2103,WangXiangYi,,
许恩乔,151126146,预备生,,27775957,34705525,CGT48,CGT48 四期生,2103,XuEnQiao,,
张伶,151126150,预备生,,27791662,34673419,CGT48,CGT48 四期生,2103,ZhangLing,,
见习偶像初见时刻,153157747,预备生,,,,CGT48,CGT48 四期生,2103,JianXiOuXiangChuJianShiKe,,
葛俊言,153682082,TEAM K,,28135965,35033643,CKG48,CKG48 九期生,1402,GeJunYan,,
黄孟浠,153682083,TEAM C,,28217844,35000666,CKG48,CKG48 九期生,1401,HuangMengXi,,
娜则乃,153682084,预备生,,28217659,35066492,CKG48,CKG48 九期生,1405,NaZeNai,,
郝冰圆,153682085,预备生,,28136278,35148145,CKG48,CKG48 九期生,1405,HaoBingYuan,,
林柔廷,153682086,预备生,,28168913,35148146,CKG48,CKG48 九期生,1405,LinRouTing,,
曹可甜,159711307,TEAM SII,,28938665,36098784,SNH48,SNH48 二十三期生,1001,CaoKeTian,,
刘诗彤,159711309,TEAM SII,,28889370,36131144,SNH48,SNH48 二十三期生,1001,LiuShiTong,,
柳雨呈,159711310,TEAM SII,,28889369,35967261,SNH48,SNH48 二十三期生,1001,LiuYuCheng,,
丁甄奥果,161153114,预备生,,29348279,36442831,GNZ48,GNZ48 十九期生,1207,DingZhenAoGuo,,
韩梓轩,161153115,预备生,,29299623,36442999,GNZ48,GNZ48 十九期生,1207,HanZiXuan,,
李家敏,161153116,预备生,,29398006,36311571,GNZ48,GNZ48 十九期生,1207,LiJiaMin,,
刘柳茜,161153117,预备生,,29299326,36458525,GNZ48,GNZ48 十九期生,1207,LiuLiuQian,,
魏诗绮,161153118,预备生,,29299624,36311573,GNZ48,GNZ48 十九期生,1207,WeiShiQi,,
王紫萱,161153119,预备生,,29266638,36426194,GNZ48,GNZ48 十九期生,1207,WangZiXuan,,
王紫媛,161153120,预备生,,29299327,36377165,GNZ48,GNZ48 十九期生,1207,WangZiYuan,,
曾雨思,161153122,TEAM NIII,,29299492,36426195,GNZ48,GNZ48 十九期生,1202,ZengYuSi,,
李梓源,161218581,预备生,,29316037,36442469,BEJ48,BEJ48 十七期生,1104,LiZiYuan,,
王思文,161218582,TEAM B,,29413758,36426538,BEJ48,BEJ48 十七期生,1101,WangSiWen,,
朱语凝,161218585,TEAM B,,29331597,36492042,BEJ48,BEJ48 十七期生,1101,ZhuYuNing,,
张雅童,161218587,TEAM B,,29331788,36492043,BEJ48,BEJ48 十七期生,1101,ZhangYaTong,,
李嘉琪,161415232,预备生,,29266387,36295650,CGT48,CGT48 五期生,2103,LiJiaQi,,
梁艺馨,161415233,预备生,,,,CGT48,CGT48 五期生,2103,LiangYiXin,,
吴婳祎,161415234,预备生,,29298697,36361162,CGT48,CGT48 五期生,2103,WuHuaYi,,
王靖雨,161415235,预备生,,29299055,36344348,CGT48,CGT48 五期生,2103,WangJingYu,,
王小萌,161415236,预备生,,29233871,36410097,CGT48,CGT48 五期生,2103,WangXiaoMeng,,
王艺淇,161415237,预备生,,29299188,36393013,CGT48,CGT48 五期生,2103,WangYiQi,,
熊玊清,161415238,预备生,,29299056,36393162,CGT48,CGT48 五期生,2103,XiongSuQing,,
郑佳男,161415239,预备生,,29266193,36393163,CGT48,CGT48 五期生,2103,ZhengJiaNan,,
张于馨,161415240,预备生,,29234166,36377457,CGT48,CGT48 五期生,2103,ZhangYuXin,,
陈嘉仪,161808449,TEAM HII,,29298737,36376935,SNH48,SNH48 二十三期生,1003,ChenJiaYi,,
曾雪婷,161808451,预备生,,29298945,36311122,SNH48,SNH48 二十三期生,1007,ZengXueTing,,
曾昕妍,161808452,TEAM X,,29266680,36311124,SNH48,SNH48 二十三期生,1004,ZengXinYan,,
邓甲楠,161808453,预备生,,,,SNH48,SNH48 二十三期生,1007,DengJiaNan,,
黄子欣,161808454,预备生,,29299086,36311278,SNH48,SNH48 二十三期生,1007,HuangZiXin,,
蒋欣洳,161808456,TEAM X,,29298946,36361096,SNH48,SNH48 二十三期生,1004,JiangXinRu,,
康圣洁,161808458,预备生,,29266539,36410149,SNH48,SNH48 二十三期生,1007,KangShengJie,,
李继醇,161808459,TEAM NII,,29234109,36410152,SNH48,SNH48 二十三期生,1002,LiJiChun,,
刘婧阳,161808460,TEAM SII,,29266540,36311279,SNH48,SNH48 二十三期生,1001,LiuJingYang,,
刘若熙,161808462,TEAM NII,,29299087,36311658,SNH48,SNH48 二十三期生,1002,LiuRuoXi,,
刘思雨,161808464,TEAM HII,,29233911,36311659,SNH48,SNH48 二十三期生,1003,LiuSiYu,,
李婷,161808465,TEAM SII,,29266435,36393209,SNH48,SNH48 二十三期生,1001,LiTing,,
沈馨,161808466,TEAM NII,,29266436,36311457,SNH48,SNH48 二十三期生,1002,ShenXin,,
徐佳琳,161808468,TEAM NII,,29234110,36376941,SNH48,SNH48 二十三期生,1002,XuJiaLin,,
徐小旭,161808471,预备生,,29266437,36311281,SNH48,SNH48 二十三期生,1007,XuXiaoXu,,
钟郭菲杨,161808472,TEAM X,,29298738,36376748,SNH48,SNH48 二十三期生,1004,ZhongGuoFeiYang,,
郑柯炜,161808474,TEAM HII,,29299236,36360929,SNH48,SNH48 二十三期生,1003,ZhengKeWei,,
韩云伊,166133891,预备生,,29790812,36966974,SNH48,SNH48 二十三期生,1007,HanYunYi,,
何诗雨,167444517,预备生,,29971341,37294934,CKG48,CKG48 九期生,1405,HeShiYu,,
廖雨涵,167444518,预备生,,29955051,37458290,CKG48,CKG48 九期生,1405,LiaoYuHan,,
王振楠,167444519,预备生,,29954943,37147075,CKG48,CKG48 九期生,1405,WangZhenNan,,
余茜果,167444520,预备生,,30053355,37163941,CKG48,CKG48 九期生,1405,YuXiGuo,,
周雨涵,167444521,预备生,,30117984,37294939,CKG48,CKG48 九期生,1405,ZhouYuHan,,
冯玉雯,169934918,预备生,,30659413,37966775,GNZ48,GNZ48 二十期生,1207,FengYuWen,,
韩鑫缘,169934919,预备生,,30659008,37966776,GNZ48,GNZ48 二十期生,1207,HanXinYuan,,
孔美迪,169934921,预备生,,30527545,38015261,GNZ48,GNZ48 二十期生,1207,KongMeiDi,,
李想,169934925,预备生,,30659414,37966592,GNZ48,GNZ48 二十期生,1207,LiXiang,,
张臻,169934926,预备生,,30659009,37868238,GNZ48,GNZ48 二十期生,1207,ZhangZhen,,
赵子涵,169934927,预备生,,30659010,37868239,GNZ48,GNZ48 二十期生,1207,ZhaoZiHan,,
国嘉睿,173539393,预备生,,,,BEJ48,BEJ48 十八期生,1104,GuoJiaRui,,
郭庆恩,173539395,预备生,,31150641,38572794,BEJ48,BEJ48 十八期生,1104,GuoQingEn,,
姜佳玉格,173539396,预备生,,,,BEJ48,BEJ48 十八期生,1104,JiangJiaYuGe,,
温舒涵,173539398,预备生,,31150989,38719880,BEJ48,BEJ48 十八期生,1104,WenShuHan,,
王天娇,173539399,预备生,,31101167,38621298,BEJ48,BEJ48 十八期生,1104,WangTianJiao,,
应立婷,173539400,预备生,,31166857,38753104,BEJ48,BEJ48 十八期生,1104,YingLiTing,,
张宸,173539402,预备生,,31101168,38605802,BEJ48,BEJ48 十八期生,1104,ZhangChen,,
郑依依,173539403,预备生,,31117890,38687317,BEJ48,BEJ48 十八期生,1104,ZhengYiYi,,
陈雨孜,4344250371,TEAM SII,147283635,1181020,1345516,SNH48,SNH48 十二期生,1001,ChenYuZi,20200109180128_8b0atpmt7na9apo,148014351
刘丽千,4344250372,TEAM SII,,,,SNH48,SNH48 十二期生,1001,LiuLiQian,,
江鑫,4344250373,CKG48,,,,CKG48,SNH48 十二期生,1404,JiangXin,,
潘璐瑶,4344250374,TEAM X,,,,SNH48,SNH48 十二期生,1004,PanLuYao,,
陈亿杉,4528799749,TEAM E,,,,BEJ48,BEJ48 七期生,1102,ChenYiShan,,
曾洁,4528799750,TEAM E,,,,BEJ48,BEJ48 七期生,1102,ZengJie,,
张智杰,4528799751,IDFT,143189214,1148925,1247184,IDFT,BEJ48 七期生,1501,ZhangZhiJie,20191219151620_m7fm0foqvjuv7tt,143217705
吕蕊,4998561801,BEJ48,,,,BEJ48,BEJ48 七期生,1105,LvRui,,
宁轲,4998561802,TEAM SII,154058194,1147914,1230592,SNH48,BEJ48 七期生,1001,NingKe,20200207025844_0htfp36c8e7zzq4,154271246
张睿婕,5384437777,TEAM NII,157010991,1213950,1164957,SNH48,SNH48 十三期生,1002,ZhangRuiJie,20200217155657_dod0qtkgq05qq8u,157053036
杜亚轩,5585764355,TEAM J,,,,BEJ48,BEJ48 七期生,1103,DuYaXuan,,
熊文婕,5585764356,TEAM J,,,,BEJ48,BEJ48 七期生,1103,XiongWenJie,,
王贝妮,5602541570,TEAM SII,,,,SNH48,SNH48 十三期生,1001,WangBeiNi,,
由淼,5602541574,TEAM SII,159822189,1148112,1345521,SNH48,SNH48 十三期生,1001,YouMiao,20200228121100_h2iumsjcpjnpkht,160147195
刘果,6827278356,TEAM NIII,,,,GNZ48,GNZ48 七期生,1202,LiuGuo,,
吴思琪,6827278357,IDFT,155333671,1099637,1328213,IDFT,GNZ48 七期生,1501,WuSiQi,20200211151733_v24roigtus3qdia,155390738
马昕玥,6827278358,TEAM Z,155329896,1213759,1312425,GNZ48,GNZ48 七期生,1203,MaXinYue,20200211152144_qj1u4z48cagov99,155425159
莫昕,7179599898,TEAM NIII,,,,GNZ48,GNZ48 七期生,1202,MoXin,,
王若诗蓝,7984906291,BEJ48,180129550,1016834,1262734,BEJ48,BEJ48 八期生,1105,WangRuoShiLan,20200609135010_3w3eujald6fv6hc,180176795
张睿怡,7984906292,BEJ48,,,,BEJ48,BEJ48 八期生,1105,ZhangRuiYi,,
石竹君,8957984817,TEAM NIII,181393187,1164290,1279533,GNZ48,GNZ48 八期生,1202,ShiZhuJun,20200617192501_451ye1c4w95q0w4,182345007
杨若惜,8957984818,TEAM G,181380525,1181026,1312227,GNZ48,GNZ48 八期生,1201,YangRuoXi,20200617192534_g3gm9hl2u2zukto,182335918
张书瑀,8957984819,TEAM Z,,1901962,2343970,GNZ48,GNZ48 八期生,1203,ZhangShuYu,20200617192607_6rk2yxn4brrzn5k,182317927
余芸萱,9276751976,IDFT,187441914,1147929,1361343,IDFT,CKG48 四期生,1501,YuYunXuan,20200706182342_ogam748hadiogtt,187921874
梁晶金,9276751977,TEAM C,187441935,951578,1279728,CKG48,CKG48 四期生,1401,LiangJingJin,20200706182555_0gsw8eef2dqf012,187874323
涂秀文,9276751978,IDFT,,,,IDFT,CKG48 四期生,1501,TuXiuWen,,
